Occupation,Owns_House,Relationship_Type_Pookie,Family_Structure,Number_of_Vehicles_Owned,Gym_Category,Owns_Land,Land_Legal_Dispute,Personality_Type,Rural_or_Urban_Background,Education_Level,Age,Yearly_Inhand_Income_INR,Savings_in_Lakhs,Dahej_Category
Self-employed,Yes,Not Pookie,Joint,6,Optional,No,No,Chill,Shehr ka Launda,Graduate+,27,15367687.0,166.71,8
Government Job,No,Not Pookie,Joint,4,Obese,Yes,No,Chill,Gaon ka Chhora,12th Pass,33,18958473.0,248.17,7
Freelancer,Yes,Not Pookie,Joint,0,Optional,No,No,Chill,Shehr ka Launda,Graduate+,22,440803.0,10.02,2
Self-employed,Yes,Not Pookie,Joint,3,Obese,No,No,Chill,Shehr ka Launda,12th Pass,29,17293104.0,183.28,6
Unemployed,Yes,Pookie,Nuclear,1,Passionate,No,No,Virus,Shehr ka Launda,Graduate+,33,0.0,0.52,0
Business,No,Not Pookie,Joint,2,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,30,14725695.0,174.47,4
Private Job,Yes,Not Pookie,Alone,9,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,28,40671137.0,586.93,9
Freelancer,Yes,Not Pookie,Joint,2,Optional,No,No,Chill,Shehr ka Launda,12th Pass,18,14981712.0,153.33,4
Business,Yes,Not Pookie,Alone,2,Optional,No,Yes,Virus,Shehr ka Launda,12th Pass,33,5798159.0,61.08,4
Business,No,Not Pookie,Nuclear,1,Optional,No,No,Chill,Gaon ka Chhora,10th Pass,33,921.0,0.0,2
Private Job,No,Not Pookie,Nuclear,1,Optional,No,No,Virus,Gaon ka Chhora,Graduate+,22,14675.0,0.91,0
Business,Yes,Not Pookie,Joint,3,Obese,No,No,Chill,Shehr ka Launda,12th Pass,31,15166800.0,173.29,7
Freelancer,Yes,Not Pookie,Nuclear,2,Obese,No,No,Virus,Gaon ka Chhora,Graduate+,29,9185416.0,112.72,4
Private Job,Yes,Not Pookie,Nuclear,7,Obese,No,No,Chill,Shehr ka Launda,12th Pass,25,30206689.0,344.59,8
Private Job,No,Not Pookie,Nuclear,2,Obese,Yes,No,Chill,Gaon ka Chhora,10th Pass,26,5634850.0,72.41,4
Self-employed,No,Pookie,Joint,8,Obese,No,No,Chill,Shehr ka Launda,Graduate+,34,41302734.0,590.28,9
Freelancer,No,Not Pookie,Joint,1,Optional,No,No,Chill,Gaon ka Chhora,10th Pass,22,521566.0,10.47,1
Freelancer,No,Pookie,Joint,5,Optional,No,No,Chill,Shehr ka Launda,Graduate+,27,27549461.0,369.0,7
Private Job,Yes,Not Pookie,Nuclear,4,Passionate,No,No,Chill,Gaon ka Chhora,10th Pass,24,666255.0,5.13,2
Self-employed,No,Not Pookie,Joint,9,Optional,No,No,Chill,Shehr ka Launda,12th Pass,28,43558762.0,516.34,9
Business,No,Not Pookie,Nuclear,6,Optional,No,No,Virus,Gaon ka Chhora,12th Pass,23,29628868.0,306.53,7
Freelancer,No,Not Pookie,Nuclear,0,Optional,Yes,No,Chill,Gaon ka Chhora,12th Pass,29,5923.0,4.73,3
Private Job,Yes,Not Pookie,Nuclear,7,Passionate,Yes,No,Virus,Shehr ka Launda,12th Pass,25,32155345.0,478.4,10
Unemployed,Yes,Not Pookie,Nuclear,1,Optional,No,No,Virus,Gaon ka Chhora,12th Pass,26,0.0,0.0,0
Self-employed,Yes,Not Pookie,Nuclear,3,Obese,No,No,Virus,Shehr ka Launda,Graduate+,39,12682862.0,172.9,4
Business,No,Not Pookie,Joint,3,Passionate,No,No,Virus,Gaon ka Chhora,12th Pass,26,19488876.0,239.62,6
Self-employed,No,Not Pookie,Nuclear,1,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,34,660390.0,7.1,2
Freelancer,Yes,Not Pookie,Nuclear,3,Obese,No,No,Chill,Shehr ka Launda,Graduate+,26,17346679.0,218.08,6
Private Job,No,Not Pookie,Nuclear,4,Optional,No,No,Chill,Shehr ka Launda,Graduate+,23,24759458.0,259.18,5
Private Job,Yes,Not Pookie,Joint,10,Optional,No,No,Virus,Shehr ka Launda,12th Pass,18,49752121.0,546.34,7
Freelancer,No,Not Pookie,Alone,0,Optional,No,No,Virus,Shehr ka Launda,12th Pass,33,2229.0,1.45,0
Private Job,No,Not Pookie,Joint,2,Obese,No,No,Virus,Shehr ka Launda,12th Pass,39,14109194.0,166.08,1
Business,Yes,Not Pookie,Nuclear,4,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,24,17047637.0,223.83,7
Business,No,Not Pookie,Joint,1,Obese,Yes,No,Chill,Gaon ka Chhora,Graduate+,28,6516460.0,88.26,6
Private Job,Yes,Not Pookie,Nuclear,4,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,37,23331641.0,279.51,5
Unemployed,No,Not Pookie,Joint,1,Obese,No,No,Virus,Gaon ka Chhora,12th Pass,30,0.0,0.0,0
Unemployed,Yes,Not Pookie,Nuclear,1,Obese,No,No,Chill,Shehr ka Launda,10th Pass,25,0.0,0.0,0
Private Job,No,Pookie,Joint,2,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,22,13495052.0,166.16,3
Freelancer,Yes,Not Pookie,Nuclear,1,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,24,4779855.0,53.1,3
Self-employed,No,Not Pookie,Joint,1,Obese,No,No,Chill,Shehr ka Launda,10th Pass,27,152304.0,2.8,1
Self-employed,No,Not Pookie,Nuclear,2,Obese,No,No,Chill,Shehr ka Launda,Uneducated,26,10944390.0,113.51,4
,No,Not Pookie,Alone,4,Optional,Yes,N/A,Chill,Gaon ka Chhora,Graduate+,27,22629130.0,282.88,6
Freelancer,Yes,Pookie,Joint,1,Passionate,No,No,Virus,Gaon ka Chhora,Graduate+,28,1162163.0,12.25,3
Private Job,No,Not Pookie,Joint,5,Obese,No,No,Chill,Shehr ka Launda,10th Pass,30,26989801.0,321.53,6
Private Job,No,Not Pookie,Nuclear,0,Optional,No,No,Chill,Shehr ka Launda,Graduate+,30,7725.0,0.0,1
Private Job,Yes,Not Pookie,Joint,1,Optional,No,No,Chill,Shehr ka Launda,12th Pass,24,185873.0,4.52,1
Private Job,No,Not Pookie,Nuclear,8,Obese,No,No,Chill,Shehr ka Launda,10th Pass,21,34275708.0,470.12,7
Self-employed,Yes,Not Pookie,Joint,2,Passionate,No,No,Chill,Gaon ka Chhora,Graduate+,30,8243529.0,99.73,6
Unemployed,Yes,Not Pookie,Joint,1,Passionate,No,No,Chill,Shehr ka Launda,10th Pass,19,0.0,0.0,0
Private Job,No,Not Pookie,Nuclear,10,Optional,No,No,Chill,Shehr ka Launda,Graduate+,31,48923761.0,695.25,8
Business,No,Not Pookie,Joint,2,Optional,Yes,No,Chill,Shehr ka Launda,12th Pass,26,5.0,0.84,4
Private Job,Yes,Not Pookie,Alone,5,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,27,23690077.0,321.81,8
Private Job,Yes,Not Pookie,Nuclear,0,Optional,No,No,Chill,Shehr ka Launda,Uneducated,37,311832.0,0.93,1
Private Job,Yes,Not Pookie,Joint,4,Passionate,No,No,Chill,Gaon ka Chhora,Graduate+,34,14053123.0,165.94,6
Freelancer,No,Not Pookie,Joint,2,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,30,9921804.0,117.92,3
Self-employed,No,Not Pookie,Nuclear,1,Optional,Yes,No,Chill,Gaon ka Chhora,Graduate+,21,2544465.0,28.67,4
Private Job,Yes,Not Pookie,Joint,4,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,24,16848223.0,181.37,6
Private Job,Yes,Not Pookie,Joint,3,Obese,No,No,Chill,Shehr ka Launda,12th Pass,36,8410603.0,122.14,3
Freelancer,No,Pookie,Joint,0,Optional,Yes,No,Chill,Gaon ka Chhora,12th Pass,26,1952054.0,23.6,3
Private Job,Yes,Not Pookie,Nuclear,0,Optional,No,No,Chill,Shehr ka Launda,10th Pass,25,3761132.0,38.77,2
Private Job,No,Pookie,Joint,2,Optional,No,No,Chill,Shehr ka Launda,Graduate+,25,13713827.0,171.59,4
Private Job,Yes,Not Pookie,Joint,8,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,29,41045745.0,461.91,9
Private Job,No,Not Pookie,Joint,2,Obese,Yes,No,Virus,Gaon ka Chhora,Graduate+,25,19227.0,0.0,1
Business,No,Not Pookie,Joint,3,Optional,No,No,Virus,Gaon ka Chhora,12th Pass,22,10821489.0,125.74,4
Self-employed,No,Not Pookie,Joint,8,Obese,No,No,Virus,Gaon ka Chhora,Graduate+,30,42227035.0,603.75,8
Business,No,Pookie,Joint,7,Optional,Yes,Yes,Chill,Shehr ka Launda,12th Pass,31,37517606.0,558.28,10
Private Job,No,Not Pookie,Nuclear,8,Passionate,No,No,Chill,Gaon ka Chhora,Graduate+,28,43139105.0,552.46,9
Business,No,Not Pookie,Joint,6,Obese,No,No,Chill,Shehr ka Launda,12th Pass,26,17389926.0,208.4,7
Government Job,Yes,Not Pookie,Alone,11,Passionate,No,No,Virus,Gaon ka Chhora,12th Pass,24,45293462.0,578.7,9
Private Job,No,Not Pookie,Nuclear,3,Optional,No,No,N/A,Shehr ka Launda,,32,395308.0,4.53,0
Private Job,Yes,Not Pookie,Joint,4,Optional,Yes,No,Virus,Gaon ka Chhora,12th Pass,30,14587040.0,166.26,5
Private Job,Yes,Not Pookie,Joint,3,Optional,Yes,No,Chill,Shehr ka Launda,10th Pass,29,16563847.0,224.72,7
Private Job,No,Not Pookie,Joint,1,Obese,Yes,No,Chill,Shehr ka Launda,Uneducated,24,7362750.0,100.31,3
Freelancer,Yes,Not Pookie,Joint,0,Obese,Yes,No,Chill,,Graduate+,23,7801.0,0.0,3
Freelancer,Yes,Not Pookie,Nuclear,2,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,31,2025212.0,30.36,4
Private Job,Yes,Not Pookie,Nuclear,2,Optional,Yes,No,Chill,Gaon ka Chhora,Graduate+,30,5912461.0,85.96,6
Private Job,No,Not Pookie,Alone,5,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,26,25178868.0,328.27,7
Unemployed,Yes,Pookie,Nuclear,1,Passionate,No,No,Virus,Gaon ka Chhora,12th Pass,32,0.0,0.0,0
Private Job,No,Not Pookie,Joint,2,Optional,No,No,Virus,Gaon ka Chhora,10th Pass,34,1378843.0,20.31,1
Business,No,Not Pookie,Joint,9,Optional,Yes,No,Chill,Shehr ka Launda,Graduate+,33,43472356.0,619.08,10
Private Job,No,Not Pookie,Nuclear,8,Passionate,No,No,Chill,Shehr ka Launda,Uneducated,20,40009438.0,435.93,7
Private Job,Yes,Pookie,Joint,1,Obese,Yes,No,Chill,Gaon ka Chhora,12th Pass,30,1890760.0,29.06,4
Business,Yes,Not Pookie,Nuclear,1,Obese,No,No,Chill,Shehr ka Launda,Uneducated,26,5201451.0,52.88,5
Private Job,No,Pookie,Alone,1,Optional,Yes,No,,Gaon ka Chhora,Uneducated,25,220651.0,0.0,2
Business,Yes,Not Pookie,Nuclear,7,Optional,Yes,Yes,Chill,Shehr ka Launda,Graduate+,32,34356649.0,427.21,10
Private Job,Yes,Not Pookie,Joint,1,Obese,No,No,Chill,Shehr ka Launda,Uneducated,33,886691.0,8.18,1
Business,Yes,Not Pookie,Nuclear,6,Optional,No,No,Virus,Gaon ka Chhora,12th Pass,30,28470899.0,299.35,8
Business,Yes,Not Pookie,Alone,0,Passionate,No,No,Virus,Shehr ka Launda,Uneducated,34,3798545.0,46.43,4
Private Job,Yes,Not Pookie,Nuclear,3,Optional,No,No,Chill,Shehr ka Launda,Graduate+,29,13653148.0,139.44,5
Government Job,No,Not Pookie,Nuclear,1,Passionate,No,No,Chill,Gaon ka Chhora,12th Pass,38,868.0,0.0,2
Private Job,No,Not Pookie,Joint,0,Optional,No,No,Virus,Shehr ka Launda,10th Pass,28,2710945.0,36.19,0
Private Job,Yes,Not Pookie,Joint,6,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,24,32697671.0,353.38,9
Self-employed,Yes,Not Pookie,Joint,0,Optional,No,No,Virus,Gaon ka Chhora,Uneducated,25,1678497.0,27.24,2
Business,No,Not Pookie,Alone,1,Optional,No,No,Chill,Gaon ka Chhora,Uneducated,31,401.0,0.0,2
Government Job,Yes,Not Pookie,Joint,5,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,27,23030492.0,326.02,9
Unemployed,No,Not Pookie,Nuclear,1,Obese,No,No,Virus,Gaon ka Chhora,12th Pass,19,0.0,1.15,0
Self-employed,Yes,Not Pookie,Joint,10,Obese,No,No,Chill,Shehr ka Launda,10th Pass,26,40182200.0,423.02,9
Freelancer,No,Pookie,Nuclear,1,Optional,No,No,Virus,Shehr ka Launda,Graduate+,28,4394440.0,41.7,2
Freelancer,Yes,Not Pookie,Joint,4,Optional,Yes,No,Chill,Gaon ka Chhora,Graduate+,41,20319515.0,297.94,8
Private Job,No,Not Pookie,Nuclear,5,Optional,No,No,Chill,Shehr ka Launda,10th Pass,34,29360883.0,307.55,6
Self-employed,Yes,Not Pookie,Nuclear,2,Optional,No,No,Virus,Gaon ka Chhora,Uneducated,27,4958243.0,52.76,3
Private Job,Yes,Not Pookie,Nuclear,8,Optional,Yes,No,Virus,Gaon ka Chhora,12th Pass,28,41326839.0,566.54,10
Self-employed,No,Not Pookie,Joint,1,Optional,No,No,Chill,Shehr ka Launda,12th Pass,30,5258703.0,61.83,4
Private Job,Yes,Not Pookie,Joint,1,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,23,1653207.0,18.5,1
Freelancer,Yes,Not Pookie,Nuclear,4,Obese,Yes,No,Virus,Shehr ka Launda,Graduate+,30,14868078.0,220.59,6
Private Job,Yes,Not Pookie,Joint,2,Passionate,No,No,Virus,Shehr ka Launda,Graduate+,37,1.0,0.0,2
Unemployed,Yes,Not Pookie,Nuclear,0,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,39,0.0,1.43,0
Business,No,Not Pookie,Joint,3,Passionate,No,No,Chill,Shehr ka Launda,12th Pass,28,9477073.0,133.31,6
Private Job,No,Not Pookie,Joint,2,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,29,11738875.0,163.89,3
Freelancer,Yes,Not Pookie,Nuclear,5,Optional,No,No,Virus,Gaon ka Chhora,10th Pass,37,22659611.0,261.53,6
Private Job,No,Pookie,Joint,3,Optional,No,No,Chill,Shehr ka Launda,Graduate+,28,5480544.0,54.59,4
Private Job,Yes,Not Pookie,Joint,5,Optional,No,No,Chill,Gaon ka Chhora,Uneducated,32,24826982.0,371.94,7
Unemployed,No,Not Pookie,Joint,2,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,30,0.0,0.0,0
Private Job,Yes,Not Pookie,Nuclear,0,Passionate,No,No,Chill,Shehr ka Launda,12th Pass,32,646301.0,5.93,2
Private Job,No,Not Pookie,Nuclear,11,Passionate,No,No,Virus,Gaon ka Chhora,12th Pass,25,45248296.0,562.25,7
Private Job,No,Not Pookie,Nuclear,0,Optional,No,No,Chill,Gaon ka Chhora,10th Pass,27,1730595.0,17.2,1
Government Job,Yes,Not Pookie,Nuclear,0,Obese,No,Yes,Chill,Gaon ka Chhora,Graduate+,28,178736.0,0.0,2
Business,Yes,Not Pookie,Joint,2,Passionate,No,No,Chill,Shehr ka Launda,Graduate+,30,55862.0,0.0,5
Self-employed,Yes,Not Pookie,Nuclear,2,Optional,No,No,Chill,Shehr ka Launda,10th Pass,27,185897.0,2.35,3
Business,Yes,Not Pookie,Alone,1,Passionate,Yes,No,Chill,Gaon ka Chhora,12th Pass,26,86429.0,2.1,5
Unemployed,No,Not Pookie,Nuclear,1,Obese,No,"['weird', 123]",Chillx,Shehr ka Launda,Graduate+,NULL,0.0,0.0,0
Business,Yes,Not Pookie,Nuclear,2,Obese,Yes,No,Chill,Gaon ka Chhora,12th Pass,18,2312478.0,23.88,4
Business,Yes,Not Pookie,Joint,3,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,19,24196.0,0.29,3
Business,Yes,Not Pookie,Nuclear,2,Obese,No,No,Chill,Shehr ka Launda,10th Pass,36,7914077.0,95.86,5
Government Job,Yes,Not Pookie,Joint,1,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,31,6472558.0,82.46,6
Private Job,Yes,Not Pookie,Nuclear,2,Obese,Yes,No,Virus,Shehr ka Launda,Graduate+,29,862146.0,9.2,3
